Global Solar(kW/m2),PV Cell Temperature(C),Wind Speed(m/s),Ambient Temperature,AC Load(kW),Month,Day,Year,Hour
0.0,23.72726,2.744817,23.72726,0.09846089,1,4,2007,1
0.0,23.72726,2.8445169999999997,23.72726,0.2220166,1,4,2007,1
0.0,23.72726,2.389093,23.72726,0.1770628,1,4,2007,1
0.0,23.72726,2.873005,23.72726,0.26256209999999996,1,4,2007,1
0.0,23.72726,4.066536,23.72726,0.3702687,1,4,2007,1
0.0,23.72726,4.3779449999999995,23.72726,0.6055520000000001,1,4,2007,1
0.0,23.72726,4.457952,23.72726,0.3708347,1,4,2007,1
0.01864031,24.1968,5.341508999999999,23.72726,0.33749509999999994,1,4,2007,1
0.07331854,25.5842,5.938312000000001,23.72726,0.3339829,1,4,2007,1
0.1727335,28.1317,7.411285,23.72726,0.5347809,1,4,2007,1
0.24729479999999998,30.05573,6.315051,23.72726,0.4911714,1,4,2007,1
0.2410813,29.889120000000002,5.946522,23.72726,0.5754017,1,4,2007,1
0.1329675,27.10063,6.561901,23.72726,0.46707440000000006,1,4,2007,1
0.13793829999999999,27.233790000000003,5.694678,23.72726,0.3906868,1,4,2007,1
0.04722211,24.91933,5.6376599999999994,23.72726,0.3344514,1,4,2007,1
0.01615493,24.133960000000002,5.384651,23.72726,0.2993941,1,4,2007,1
0.0,23.72726,5.829217,23.72726,0.5518444,1,4,2007,1
0.0,23.72726,6.034148,23.72726,1.167846,1,4,2007,1
0.0,23.72726,5.048118,23.72726,0.8948615,1,4,2007,1
0.0,23.72726,4.608844,23.72726,0.5562755,1,4,2007,1
0.0,23.72726,4.36615,23.72726,0.43595600000000007,1,4,2007,1
0.0,23.72726,3.966241,23.72726,0.281922,1,4,2007,1
0.0,23.72726,2.402254,23.72726,0.1917485,1,4,2007,1
0.0,23.72726,1.9012810000000002,23.72726,0.07695545,1,5,2007,1
0.0,23.72726,1.0428680000000001,23.72726,0.07560975,1,5,2007,1
0.0,23.72726,0.9746759,23.72726,0.1680556,1,5,2007,1
0.0,23.72726,0.5787749,23.72726,0.2020654,1,5,2007,1
0.0,23.72726,1.220586,23.72726,0.2399426,1,5,2007,1
0.0,23.72726,0.8758034,23.72726,0.38284609999999997,1,5,2007,1
0.0,23.72726,0.7323137,23.72726,0.4636036,1,5,2007,1
0.0,23.72726,0.8038075,23.72726,0.303452,1,5,2007,1
0.03106718,24.51214,1.146894,23.72726,0.3279475,1,5,2007,1
0.08201735,25.806729999999998,1.235953,23.72726,0.33298979999999995,1,5,2007,1
0.14663710000000002,27.45761,1.5236299999999998,23.72726,0.37084829999999996,1,5,2007,1
0.2174703,29.27983,1.841709,23.72726,0.3757292,1,5,2007,1
0.22865439999999998,29.56601,2.163295,23.72726,0.42755600000000005,1,5,2007,1
0.22119829999999996,29.37657,2.592334,23.72726,0.46042690000000003,1,5,2007,1
0.1665201,27.9708,2.3755330000000003,23.72726,0.28600190000000003,1,5,2007,1
0.1168126,26.701340000000002,2.14079,23.72726,0.37602040000000003,1,5,2007,1
0.03355255,24.5754,1.9611580000000002,23.72726,0.2624194,1,5,2007,1
0.0,23.72726,2.0060830000000003,23.72726,0.5037944000000001,1,5,2007,1
0.0,23.72726,1.720563,23.72726,0.8609856,1,5,2007,1
0.0,23.72726,1.424107,23.72726,0.750987,1,5,2007,1
0.0,23.72726,1.599917,23.72726,0.49976709999999996,1,5,2007,1
0.0,23.72726,2.010724,23.72726,0.3046624,1,5,2007,1
0.0,23.72726,2.6349299999999998,23.72726,0.23447489999999999,1,5,2007,1
0.0,23.72726,2.790875,23.72726,0.1655924,1,5,2007,1
0.0,23.72726,2.943747,23.72726,0.09869003,1,6,2007,1
0.0,23.72726,1.6909610000000002,23.72726,0.07816476,1,6,2007,1
0.0,23.72726,1.78557,23.72726,0.19104100000000002,1,6,2007,1
0.0,23.72726,1.3643370000000001,23.72726,0.1561846,1,6,2007,1
0.0,23.72726,0.7988695,23.72726,0.3303889,1,6,2007,1
0.0,23.72726,0.3840668,23.72726,0.3836752,1,6,2007,1
0.0,23.72726,0.1261108,23.72726,0.5675119000000001,1,6,2007,1
0.0,23.72726,0.1311743,23.72726,0.36134109999999997,1,6,2007,1
0.02982449,24.480539999999998,0.25933470000000003,23.72726,0.29240370000000004,1,6,2007,1
0.1292395,27.02262,0.3969537,23.72726,0.30812140000000005,1,6,2007,1
0.2373533,29.816159999999996,0.47825559999999995,23.72726,0.4048909,1,6,2007,1
0.3206133,32.03143,0.6963564999999999,23.72726,0.37888590000000005,1,6,2007,1
0.35416590000000003,32.95029,0.5918446999999999,23.72726,0.4663536,1,6,2007,1
0.3367682,32.48877,1.016283,23.72726,0.4435848,1,6,2007,1
0.2149849,29.22857,0.21458979999999997,23.72726,0.3155445,1,6,2007,1
0.1130845,26.604870000000002,0.2674244,23.72726,0.36154040000000004,1,6,2007,1
